courseno,title_long_en,degree_level,pre_en,year_end,open_status
11478,Holism,U,third year standing or consent of the Philosophy and Religion Division,2599.0,1
603797,Thesis,G,Thesis proposal have been approved or concurrent with proposal propose,2599.0,1
603799,Thesis,G,Thesis proposal have been approved or concurrent with proposal propose,2599.0,1
204456,Machine Learning,U,204251 or 204271; and 206112; and 208150 or 208263 or 208264 or 208269,2599.0,1
207308,Classical Mechanics,U,207104 or 207188 or 207198; and 207108 or 207118; and 206112 or 206203,2599.0,1
179442,Law on Migration and Border-Crossing of People and Capital,U,176101 or 177103; and third year standing or consent of the department,2599.0,1
107797,Thesis,G,Approved proposal or sent proposal thesis and enroll thesis course too,2599.0,1
11364,Philosophy of the Modern Times,U,Third year standing or Consent of the Philosophy and Religion Division,2599.0,1
11374,Philosophy of Technology,U,Third Year standing or Consent of the Philosophy and Religion Division,2599.0,1
328747,Clerkship at Other Rehabilitation Related Clinics,G,"328731, 328732, 328733, 328734,328735, 328736, 328737, 328738, 328741",2599.0,1
211412,Bioenergetics and Health,U,211311 and 211317; or 211315 and 211319; or consent of the department,2599.0,1
211445,Flavor and Fragrance,U,211311 and 211317; or 211315 and 211319; or consent of the department,2599.0,1
203352,Safety in the Chemistry Laboratory,U,203111 and 203115; or 203104 and 203108; or consent of the department,2599.0,1
365426,Forest Plants and Utilization,U,202112 or 202147; or 363210 and 400211; or consent of the department,2599.0,1
4799,Master’s Thesis,G,Approved proposal or concurrent to the submission of thesis proposal,2599.0,1
510419,Quality System and Laboratory Management,U,Fourth year Medical Technology students or consent of the department,2599.0,1
510451,Precision Medicine for Medical Technology,U,Fourth year Medical Technology students or consent of the department,2599.0,1
510452,Techniques in Molecular Medicine,U,Fourth year Medical Technology students or consent of the department,2599.0,1
23798,Independent Study,G,Approval proposal or concurrent to the submission of thesis proposal,2599.0,1
23799,Master’s Thesis,G,Approval proposal or concurrent to the submission of thesis proposal,2599.0,1
65780,Preparation of Teaching Profession Practicum for Mathematics Teachers,G,First year of graduate level standing or consent from the department,2599.0,1
601353,Food Safety and Sanitation for Food Plants,U,601231 and 601242; or 606231 and 606244; or consent of the division,2599.0,1
107599,Thesis in Printmaking,U,Complete all courses in study program or consent of the department,2599.0,1
229323,Data Manipulation for Data Science,U,204113 or 204214 or 204215 or 204216 or 204217 or 204219 or 229223,2599.0,1
204251,Data Structures,U,204113 or 204214 or 204215 or 204216 or 204217 or 204219 or 229223,2599.0,1
204333,Web Application Architecture,U,204211 or 204212 or 204214 or 204215 or 204216 or 204217 or 204219,2599.0,1
209371,Unit Operations of Industrial Chemistry 1,U,203104 AND 203108 ; OR 203113 AND 203117 ; AND THIRD YEAR STANDING,2599.0,1
209372,Unit Operations of Industrial Chemistry 2,U,203104 and 203108 ; or 203113 and 203117 ; and third year standing,2599.0,1
209405,Chemical Process Design and Green Chemistry,U,203103 or 203111 or 203114 or 203162 or consent of the department,2599.0,1
208263,Elementary Statistics,U,None; for students in sciences and technology and health sciences,2599.0,1
215438,Molecular Cloning of Genes Laboratory,U,215205 and 215206; or 215207 and 215208; and concurrent to 215437,2599.0,1
212711,Seismic Prospecting,G,GEOL 382 (205382) or consent of program administrative committee,2599.0,1
321223,Physiology for Nursing Students,U,Second year standing or first year standing for two year-program,2599.0,1
205232,Crystallography and Mineralogy,U,205103; Enrollments are not permitted for geology major students,2599.0,1
209768,Industrial Chemistry for Teachers,G,203202 and 203312 or consent of the instructor (for plan B only),2599.0,1
254381,Introduction to Thermodynamics and Fluid Mechanics,U,(206104 or 206112) and (207106 and 207116) or (207104 or 207111),2599.0,1
258301,Unit Operations of Chemical Engineering 1,U,203104 AND 203108; OR 203113 AND 203117; AND THIRD YEAR STANDING,2599.0,1
258302,Unit Operations of Chemical Engineering 2,U,203104 AND 203108; OR 203113 AND 203117; AND THIRD YEAR STANDING,2599.0,1
562491,Emergency and Critical Nursing Practice,U,fourth year standing or second year standing (two year program),2599.0,1
908793,Selected Topic in Nutrition Education,G,Approved proposal or concurrent with independent study proposal,2599.0,1
601463,"Nutrition, Health and Prevention",U,fourth year standing; Food Science and Technology students only,2599.0,1
601464,Nutrition for Food Manufacturer,U,fourth year standing; Food Science and Technology students only,2599.0,1
566898,Dissertation,G,Approved thesis proposal or concurrent to dissertation proposal,2599.0,1
566899,Dissertation,G,Approved thesis proposal or concurrent to dissertation proposal,2599.0,1
88798,Independent Study,G,APPROVED PROPOSAL OR CONCURRENT WITH INDEPENDENT STUDY PROPOSAL,2599.0,1
91798,Independent Study,G,Approved proposal or concurrent with independent study proposal,2599.0,1
203727,Advanced Physical Chemistry for Teachers 1,G,203322 or 203324 or consent of the instructor (for plan B only),2599.0,1
318351,Pathology for Dental Students,U,"301252, 301253, 303252 AND 321251 OR CONSENT OF THE DEPARTMENT",2599.0,1
461525,Basic Knowledge of Thai Traditional Medicine,U,461201 and 461252; or 461102 and 461255; or; 463251 and 463402,2599.0,1
705492,Strategic Marketing Management,U,705326; or 705328 and 705329; and 705331 and 705332 and 705311,2599.0,1
705499,Seminar in Marketing,U,705326; or 705328 and 705329; and 705331 and 705332 and 705311,2599.0,1
558798,Independent Study,G,Approved thesis proposal or concurrent to Independent proposal,2599.0,1
206798,Independent Study,G,Approved proposal or concurrent to independent study proposal.,2599.0,1
907799,Master’s Thesis,G,Approved proposal or concurrent to independent study proposal.,2599.0,1
909798,Independent Study,G,Approved proposal or concurrent to independent study proposal.,2599.0,1
959798,Independent Study,G,Approved proposal or concurrent to Independent study proposal.,2599.0,1
210474,Workshop for Materials Science Students,U,third year standing; for Materials Science or Physics Students,2599.0,1
207203,Physics of Vibrations and Waves,U,206112 or concurrent to 206203; and 207104 or 207188 or 207198,2599.0,1
205382,Exploration Geophysics,U,third year standing and 205103; and 207104 or 207186 or 207188,2599.0,1
202446,Plant Growth and Development,U,202342 or consent of the department for graduate students only,2599.0,1
215441,Bacterial Physiology,U,203206 and 203209; and 215205 and 215206; or 215207 and 215208,2599.0,1
305798,Independent Study in Psychiatry,G,Approved proposal or concurrent to Independent study proposal,2599.0,1
316798,Independent Study,G,Approved proposal or concurrent to independent study proposal,2599.0,1
324798,Independent Study,G,Approved proposal or concurrent to Independent study proposal,2599.0,1
324998,Independent Study,G,Approved proposal or concurrent to independent study proposal,2599.0,1
327798,Independent Study,G,Approved proposal or concurrent to Independent study proposal,2599.0,1
356798,Independent Study,G,Approved proposal or concurrent to Independent study proposal,2599.0,1
362426,Landscape Survey for Natural Resources Management,U,361201 OR 361210 OR 361211 OR 361212 OR CONSENT OF DEPARTMENT,2599.0,1
362427,Principle of Landscape Ecology for Natural Resources Management,U,361201 OR 361210 OR 361211 OR 361212 OR CONSENT OF DEPARTMENT,2599.0,1
362428,Landscape Design Computer Programs for Natural Resources Management,U,361201 OR 361210 OR 361211 OR 361212 OR CONSENT OF DEPARTMENT,2599.0,1
510413,Clinical Laboratory Utilization and Consultation,U,501305 and 502313 and 504304 and 506301 and 508304 and 512301,2599.0,1
510416,Clinical Correlation Case Study,U,501305 and 502313 and 504305 and 506303 and 508304 and 512304,2599.0,1
569798,Independent Study,G,Approved proposal or concurrent to Independent Study Proposal,2599.0,1
801798,Independent Study,G,Approved proposal or concurrent to independent study proposal,2599.0,1
227798,Independent Study,G,Approved proposal or concurrent to independent study proposal,2599.0,1
256384,Mechanics of Petroleum Production,U,256381 and concurrent to 256383; or consent of the department,2599.0,1
701798,Independent Study,G,Approved proposal or concurrent to Independent study proposal,2599.0,1
159798,INDEPENDENT STUDY,G,Approved proposal or concurrent to independent study proposal,2599.0,1
128798,Independent Study,G,Approved proposal or concurrent to independent study proposal,2599.0,1
513798,INDEPENDENT STUDY,G,Approved proposal or concurrent to independent study proposal,2599.0,1
255798,Independent Study,G,Approved proposal or concurrent to Independent study proposal,2599.0,1
204798,Independent Study,G,Approved proposal or concurrent to independent study proposal,2599.0,1
311799,Master Thesis,G,Approved proposal or concurrent to thesis proposal submission,2599.0,1
888798,Independent Study,G,Approved proposal or concurrent to independent study proposal,2599.0,1
33798,Independent Study,G,Approved proposal or concurrent to Independent study proposal,2599.0,1
702798,Independent Study,G,Approved proposal or concurrent to Independent Study proposal,2599.0,1
264797,Independent Study,G,Approved proposal or concurrent to independent study proposal,2599.0,1
264799,Master's Thesis,G,Approved proposal or concurrent to independent study proposal,2599.0,1
268798,Independent Study,G,Approved proposal or concurrent to Independent study proposal,2599.0,1
216798,Independent Study,G,Approved proposal or concurrent to Independent study proposal,2599.0,1
950798,Independent Study,G,Approved proposal or concurrent to Independent Study proposal,2599.0,1
701454,Research in Accounting,U,703243 and fourth year standing; or consent of the department,2599.0,1
907798,Independent Study,G,Approved proposal or concurrent to independent study proposal,2599.0,1
751798,Independent Study,G,Approved proposal or concurrent to independent study proposal,2599.0,1
905798,Master’s Thesis,G,Approved proposal of concurrent with master?s thesis proposal,2599.0,1
466409,Integration in Pharmacy,U,465323 and 466302; and 466304 or 466407; and 465355 or 465456,2599.0,1
29798,Independent Study,G,Approved proposal or concurrent to Independent Study proposal,2599.0,1
461532,Drug Synthesis,U,461342 and 461433; or 461344 and 461435; or 463331 and 463342,2599.0,1
903798,Independent Study,G,Approved proposal or concurrent to independent study proposal,2599.0,1
208497,Cooperative Education in Statistics,U,fourth year standing and 208492 and consent of the department,2599.0,1
63799,Master’s Thesis,G,Approved proposal or concurrent to independent study proposal,2599.0,1
261797,Independent Study,G,Approved proposal or concurrent to independent study proposal,2599.0,1
205344,Igneous and Metamorphic Petrology,U,205235 and 205244 and 205337; or 205235 and 205246 and 205337,2599.0,1
214341,General Animal Physiology,U,202102 and 203204 and 203208; or 202102 and 203206 and 203209,2599.0,1
209201,Chemical Stoichiometry,U,203104 and 203108; or 203113 and 203117; and 206112 or 206116,2599.0,1
215433,Microbial Genome Analysis and Bioinformatics,U,215205 and 215206; or 215207 and 215208; and 215431 or 202231,2599.0,1
203471,Properties and Characterization of Polymeric Materials,U,203324 or consent of the department; and concurrent to 203477,2599.0,1
203474,Reactions and Synthesis Methods of Polymers,U,203324 or consent of the department; and concurrent to 203478,2599.0,1
206495,Cooperative Education in Mathematics,U,fourth year standing and 206492 and consent of the department,2599.0,1
224798,Independent Study,G,Approved proposal or concurrent to Independent Study Proposal,2599.0,1
701499,Seminar in Accounting,U,Fourth year Accounting students or consent of the department,2599.0,1
127459,Cooperative Education in Political Science,U,fourth year standing; for Politics and Government major only,2599.0,1
105311,Individual Painting 1,U,105100 and third year standing; or consent of the department,2599.0,1
909797,Master’s Thesis,G,Approved proposal or concurrent to Master?s Thesis proposal.,2599.0,1
909799,Master’s Thesis,G,Approved proposal or concurrent to Master?s Thesis proposal.,2599.0,1
466655,Clerkship in Health Economics and Outcomes Research,U,466550 and sixth year standing and consent of the department,2599.0,1
903799,Master’s Thesis,G,Approved proposal or concurrent to Master?s Thesis proposal.,2599.0,1
207205,Electricity and Magnetism,U,206112; and 207104 or 207188 or 207199; and 207108 or 207118,2599.0,1
207208,Thermodynamics,U,206112; and 207108 or 207118; and 207104 or 207188 or 207198,2599.0,1
207306,Modern Physics,U,207104 or 207188; or 207198 and 207199; and 206112 or 206203,2599.0,1
203477,Polymer Chemistry Laboratory 1,U,concurrent to 203471 or 203475; or consent of the department,2599.0,1
215321,Actinomycetes,U,215200 or 215201; OR 215205 AND 215206; OR 215207 AND 215208,2599.0,1
215323,Phycology,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208,2599.0,1
215325,Mycology,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208,2599.0,1
215327,Virology,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208,2599.0,1
215375,Aquatic Microbiology,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208,2599.0,1
215385,Normal Flora Microorganisms in Human,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208,2599.0,1
215421,Biology of Mushrooms,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208,2599.0,1
215423,Biology of Yeasts,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208,2599.0,1
215435,Microbial Genetics,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208,2599.0,1
215445,Bacterial Physiology,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208,2599.0,1
215465,Systematic Bacteriology,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208,2599.0,1
215475,Microbial Ecology,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208,2599.0,1
215485,Industrial Microbiology,U,215200 OR 215201; OR 215205 AND 215206; OR 215207 AND 215208,2599.0,1
254271,Material Property Laboratory for Machine Design Application,U,259103 AND CONCURRENT TO 254215 OR CONSENT OF THE DEPARTMENT,2599.0,1
324716,Practice in Medical Radiation Oncology Physics,G,Completion of elective courses 12 credit in specialty track,2599.0,1
251797,Master’s Thesis,G,Approved proposal or concurrent to Master?s Thesis proposal,2599.0,1
251798,Master’s Thesis,G,Approved proposal or concurrent to Master?s Thesis proposal,2599.0,1
261798,Master’s Thesis,G,Approved proposal or concurrent to master?s thesis proposal,2599.0,1
261799,Master’s Thesis,G,Approved proposal or concurrent to master?s thesis proposal,2599.0,1
356486,Behavior of Domestic Animals,U,Third and fourth year standing in ANS or PSY or BIOL or VET,2599.0,1
356499,Special Problems,U,356390 or fourth year standing or consent of the department,2599.0,1
324734,Practice in Nuclear Medicine Physics,G,Completion of elective courses 8 credit in specialty track,2599.0,1
